"GeoFips","GeoName","LineCode","Description","2019"
"01001","Autauga, AL","1","Personal income (thousands of dollars)",2453617
"01001","Autauga, AL","2","Population (persons) 1/",55869
"01001","Autauga, AL","3","Per capita personal income (dollars) 2/",43917
"01003","Baldwin, AL","1","Personal income (thousands of dollars)",10600260
"01003","Baldwin, AL","2","Population (persons) 1/",223234
"01003","Baldwin, AL","3","Per capita personal income (dollars) 2/",47485
"01005","Barbour, AL","1","Personal income (thousands of dollars)",882834
"01005","Barbour, AL","2","Population (persons) 1/",24686
"01005","Barbour, AL","3","Per capita personal income (dollars) 2/",35763
"01007","Bibb, AL","1","Personal income (thousands of dollars)",710451
"01007","Bibb, AL","2","Population (persons) 1/",22394
"01007","Bibb, AL","3","Per capita personal income (dollars) 2/",31725
"01009","Blount, AL","1","Personal income (thousands of dollars)",2105550
"01009","Blount, AL","2","Population (persons) 1/",57826
"01009","Blount, AL","3","Per capita personal income (dollars) 2/",36412
"01011","Bullock, AL","1","Personal income (thousands of dollars)",293741
"01011","Bullock, AL","2","Population (persons) 1/",10101
"01011","Bullock, AL","3","Per capita personal income (dollars) 2/",29080
"01013","Butler, AL","1","Personal income (thousands of dollars)",729749
"01013","Butler, AL","2","Population (persons) 1/",19448
"01013","Butler, AL","3","Per capita personal income (dollars) 2/",37523
"01015","Calhoun, AL","1","Personal income (thousands of dollars)",4361788
"01015","Calhoun, AL","2","Population (persons) 1/",113605
"01015","Calhoun, AL","3","Per capita personal income (dollars) 2/",38394
"01017","Chambers, AL","1","Personal income (thousands of dollars)",1193820
"01017","Chambers, AL","2","Population (persons) 1/",33254
"01017","Chambers, AL","3","Per capita personal income (dollars) 2/",35900
"01019","Cherokee, AL","1","Personal income (thousands of dollars)",954378
"01019","Cherokee, AL","2","Population (persons) 1/",26196
"01019","Cherokee, AL","3","Per capita personal income (dollars) 2/",36432
"01021","Chilton, AL","1","Personal income (thousands of dollars)",1607766
"01021","Chilton, AL","2","Population (persons) 1/",44428
"01021","Chilton, AL","3","Per capita personal income (dollars) 2/",36188
"01023","Choctaw, AL","1","Personal income (thousands of dollars)",505385
"01023","Choctaw, AL","2","Population (persons) 1/",12589
"01023","Choctaw, AL","3","Per capita personal income (dollars) 2/",40145
"01025","Clarke, AL","1","Personal income (thousands of dollars)",896816
"01025","Clarke, AL","2","Population (persons) 1/",23622
"01025","Clarke, AL","3","Per capita personal income (dollars) 2/",37965
"01027","Clay, AL","1","Personal income (thousands of dollars)",454255
"01027","Clay, AL","2","Population (persons) 1/",13235
"01027","Clay, AL","3","Per capita personal income (dollars) 2/",34322
"01029","Cleburne, AL","1","Personal income (thousands of dollars)",533646
"01029","Cleburne, AL","2","Population (persons) 1/",14910
"01029","Cleburne, AL","3","Per capita personal income (dollars) 2/",35791
"01031","Coffee, AL","1","Personal income (thousands of dollars)",2301936
"01031","Coffee, AL","2","Population (persons) 1/",52342
"01031","Coffee, AL","3","Per capita personal income (dollars) 2/",43979
"01033","Colbert, AL","1","Personal income (thousands of dollars)",2191897
"01033","Colbert, AL","2","Population (persons) 1/",55241
"01033","Colbert, AL","3","Per capita personal income (dollars) 2/",39679
"01035","Conecuh, AL","1","Personal income (thousands of dollars)",421037
"01035","Conecuh, AL","2","Population (persons) 1/",12067
"01035","Conecuh, AL","3","Per capita personal income (dollars) 2/",34892
